ds,yhat,yhat_lower,yhat_upper
2017-10-31,88450.43615630161,74642.88815588136,101363.23748074053
2017-11-01,88886.38565995274,75008.16559355892,102665.77386462614
2017-11-02,87576.68098929341,74049.51217887634,100322.11127824128
2017-11-03,86113.01889644554,72710.72700235568,98746.82736129963
2017-11-04,80315.17432682359,67042.78622340453,93617.13462959384
2017-11-05,82147.31095731856,68900.64365167618,95306.57843380941
2017-11-06,92066.2950674441,78195.9380790965,104827.84646964492
2017-11-07,91749.54796748568,78650.72501393183,104549.61717305657
2017-11-08,92121.13969080025,78380.61391937389,103835.845037849
2017-11-09,90915.39105115288,77863.51216900951,103746.51738286731
2017-11-10,89713.80659657046,76891.3996402179,103195.89746755034
2017-11-11,84321.41259805977,71673.16251634846,97735.29896765319
2017-11-12,86683.43989488267,73681.04872263335,99943.07827175586
2017-11-13,97234.12271009479,84165.09075768449,110795.00892716977
2017-11-14,97625.13617868026,84654.51308351339,110495.20733200229
2017-11-15,98752.36170089067,84307.74156998347,111445.63688161017
2017-11-16,98320.22728229838,84967.23078144582,111249.47369518313
2017-11-17,97879.42893343348,84385.44120983944,110626.3585928748
2017-11-18,93204.08542356518,80673.82408779848,105809.84149391994
2017-11-19,96209.24514811423,83717.44365355647,109065.08188342837
2017-11-20,107300.49463602019,93737.62321689542,120142.24725543939
2017-11-21,108103.1704371628,95680.00500993931,121494.30305475071
2017-11-22,109489.84177789548,96204.07024578578,123373.66315368502
2017-11-23,109145.29486816334,95585.8869427555,121966.9126222281
2017-11-24,108604.80523463682,94895.8292323735,122275.48825967897
2017-11-25,103631.73708340843,90062.43900682722,116634.928690687
2017-11-26,106135.37633534613,92073.52207131727,118956.80474837063
2017-11-27,116520.73811010885,103406.65571444678,129690.0470161178
2017-11-28,116417.84497850321,104117.72597259087,129584.8411947575
2017-11-29,116709.14142713291,103817.88175451169,128659.78287118122
2017-11-30,115094.27699870948,102233.71220435276,127935.82989361037
2017-12-01,113128.04954459192,100007.11041040377,125883.1608372069
2017-12-02,106597.55599891802,93070.30595271106,120080.28811883561
2017-12-03,107439.46884100311,93595.44383302788,121093.44105271832
2017-12-04,116089.18997980632,102389.56932295063,128528.79034240148
2017-12-05,114209.4120003647,101583.28935459687,126864.27436834779
2017-12-06,112716.73721451813,99256.65513777254,125175.17774749153
2017-12-07,109345.64091429155,96272.93062081373,121289.50138536004
2017-12-08,105685.57453989782,92551.12674093153,117596.5298821681
2017-12-09,97557.28106045691,84397.60480021303,111101.19992902403
2017-12-10,96929.26205462054,84745.13874472638,109534.89886377436
2017-12-11,104266.17216133833,90194.16879196784,116530.71114186614
2017-12-12,101256.67324116094,88551.81051373907,113990.64461629403
2017-12-13,98839.44988650356,86027.77160244215,111327.98380060848
2017-12-14,94766.65416117906,81169.76524992309,107113.83203982719
2017-12-15,90640.60471609292,78663.34436632501,104106.926319601
2017-12-16,82289.81881568936,68932.10668268768,95635.50813523783
2017-12-17,81685.32317581354,68719.72199890375,94316.38217831988
2017-12-18,89289.02235114333,76159.7581806073,101992.43339771863
2017-12-19,86781.6566760152,74297.12319460337,99488.81501048744
2017-12-20,85089.04769049934,71526.52710179726,98252.23452121016
2017-12-21,81945.8919761133,68334.51128077543,95205.65355973711
2017-12-22,78932.91855501145,65976.42112555409,92069.27416946806
2017-12-23,71853.4756444261,58484.75816006314,85995.98722569954
2017-12-24,72650.4717403213,60636.86820830921,85861.09121688004
2017-12-25,81755.46165625026,68273.34658086691,95801.23670188822
2017-12-26,80817.33296487195,66594.52736698074,94974.90939580882
2017-12-27,80729.32916678675,68497.23352981595,93971.18961402668
2017-12-28,79193.62149723606,66757.68868505045,91890.0250710484
2017-12-29,77759.23037312947,65856.73695639934,90381.16208419295
2017-12-30,72199.34293636809,60001.237956444114,85114.99821631648
2017-12-31,74428.93924831074,61310.2674298979,87483.51147120899
2018-01-01,84854.47215652786,71113.62411052143,97708.42358078045
2018-01-02,85103.0996452627,72553.01515464889,97895.05684171515
2018-01-03,86050.13580852712,73461.31464507531,99214.49128709233
2018-01-04,85383.95180338302,72338.20058505936,98472.89828534423
2018-01-05,84644.11535507496,71311.83225024138,97890.89149199058
2018-01-06,79598.8116784891,66401.19230534315,92840.56663917364
2018-01-07,82162.45787670255,68666.42541199873,94728.08053213319
2018-01-08,92745.25841138008,79797.75638145026,105365.61594907125
2018-01-09,92982.20598409322,79361.38103500879,105907.2127876492
2018-01-10,93760.2022571784,80226.47032849447,106965.92996544813
2018-01-11,92782.54055687992,79718.1209433933,105479.45869331676
2018-01-12,91606.55208105016,78414.76092678998,104303.21489287092
2018-01-13,85908.7874804356,72991.75194439372,99969.86743818152
2018-01-14,87737.09058053722,74528.62537044579,101370.73110766619
2018-01-15,97524.47155447202,83545.86805242467,110383.73116947724
2018-01-16,96929.15851788058,83609.29060765855,110247.54334436436
2018-01-17,96861.09065308579,83571.02033825676,110003.24861548418
2018-01-18,95045.79748826583,82437.16527956977,108096.10008871205
2018-01-19,93061.4816106893,78879.23468448328,106337.43246927159
2018-01-20,86715.37674713954,74621.6991414227,100197.19460839534
2018-01-21,87960.32190000574,74366.1078384197,100616.16557713237
2018-01-22,97243.32654328381,84084.84112912923,110666.22880790534
2018-01-23,96233.65667683393,82785.6605746651,109115.40539083988
2018-01-24,95849.13901012877,82037.87112791323,109516.82964752772
2018-01-25,93819.94506107063,80976.21929278185,106981.3067094395
2018-01-26,91725.67264996964,79029.75965159293,105359.363443113
2018-01-27,85371.79428179596,72296.35053374952,97989.42649727468
2018-01-28,86706.40814266131,72979.25516879171,99690.62527039685
2018-01-29,96169.05941505585,83052.54883626153,109863.3897376744
2018-01-30,95419.15232652852,82347.78145755082,108405.03076899669
2018-01-31,95362.63903747074,82909.24934844984,108572.30116438205
2018-02-01,93716.23456098065,81032.97708963409,106891.86163659582
2018-02-02,91954.32956640389,79013.68011727692,106120.73436325861
2018-02-03,85957.81625464022,72672.08776801759,98772.3261273141
2018-02-04,87659.42862760209,73673.59386515692,101031.15645943294
2018-02-05,97483.67051301287,83795.22867368301,110060.12351281353
2018-02-06,97075.67814549613,83731.77481518728,109414.08019692118
2018-02-07,97328.32275279603,85027.491164813,111474.43404147938
2018-02-08,95946.79103926715,82238.99713686343,108916.94352988583
2018-02-09,94486.4377633779,81689.12418122083,108537.2643886886
2018-02-10,88729.95789062411,75848.58355172812,101509.60379283194
2018-02-11,90604.79391986085,78078.93856056043,104483.12903020873
2018-02-12,100532.5283919935,87700.59062679847,113545.70554243389
2018-02-13,100157.76719990838,86497.75345752068,112878.88752475037
2018-02-14,100375.18828626777,85587.75018615527,112582.49878028528
2018-02-15,98893.99695306757,85872.07292648127,111540.92230776983
2018-02-16,97275.58737587089,83654.16190453539,109950.66551811155
2018-02-17,91310.4650681806,77806.20913361713,104739.90547448568
2018-02-18,92935.35477940686,79530.11748125294,105784.43704714811
2018-02-19,102582.25404911913,89162.67298545687,116037.89495272015
2018-02-20,101906.94925362276,88797.05594950452,115011.62499265671
2018-02-21,101815.68059862581,88653.91393234857,115325.93983661114
2018-02-22,100029.20943671234,86420.1996069658,113002.98851073545
2018-02-23,98061.70479424596,85227.60920972611,110941.34476916173
2018-02-24,91772.48937825696,78581.73254728623,105823.45800741161
2018-02-25,93107.63259869465,79900.17418794018,105563.45976995802
2018-02-26,102507.10836592643,89240.43494621197,115567.34129942558
2018-02-27,101633.06897297497,88556.22703435647,116036.80091679817
2018-02-28,101396.32305889422,88776.37041270404,114939.74004795945
2018-03-01,99520.27600713255,85938.01291388596,112517.55359818981
2018-03-02,97578.14750668059,84736.18564370726,111188.82665362446
2018-03-03,91369.53373710159,78900.31684366452,104770.03108989935
2018-03-04,92837.24860832188,79594.70253884055,106561.20948583927
2018-03-05,102416.21119880704,89740.83911110365,113879.20684936331
2018-03-06,101761.89995615298,89350.55307184164,113919.17858273686
2018-03-07,101777.06058334978,90039.85060049045,115571.10875485731
2018-03-08,100175.91823062848,86187.08719469311,112181.75072580663
2018-03-09,98521.69979967116,85607.32604328645,110993.59271853958
2018-03-10,92603.52399865413,79127.86063522231,104793.72493268846
2018-03-11,94353.58316359654,80920.92906284033,107511.94294082942
2018-03-12,104196.37330572914,90831.57627131646,117483.77183670431
2018-03-13,103777.4823229404,89627.23566041015,116586.70961210006
2018-03-14,103990.61305373654,91452.17489279047,117218.60403279313
2018-03-15,102514.02351019147,89275.8558741943,115761.14977858693
2018-03-16,100932.47513446718,87562.60603448744,114370.38815284306
2018-03-17,95030.15209669663,81498.91811212158,108006.21369106972
2018-03-18,96736.05696259101,84378.02609239529,109274.50355806205
2018-03-19,106473.34122008587,94146.56795916508,119623.66369870729
2018-03-20,105888.13669218957,92750.80146021904,119032.94872164847
2018-03-21,105876.56365011833,93612.88009087929,119248.82406654341
2018-03-22,104149.15760070966,91078.34538513627,117566.01683661077
2018-03-23,102268.51461163457,89290.66645828281,115334.33821229298
2018-03-24,96026.20972136142,83181.46699993408,110136.73966142132
2018-03-25,97359.91227451498,83582.27235011967,111213.05238634952
2018-03-26,106702.45735768205,93983.8783260537,119651.44040419572
2018-03-27,105710.38876652432,92081.25813140107,119123.35738481296
2018-03-28,105290.65825808015,92386.46292136298,119447.656500271
2018-03-29,103164.73253443796,89458.01117602592,116365.14848961664
2018-03-30,100905.91753284419,87897.71688585352,114370.83253986262
